"Calça Flare","Calça de boca larga","P","Bege","49.99","30"
"Sandália Gladiadora","Sandália estilosa de tiras","37","Marrom","69.99","25"
"Blusa de Seda","Blusa de seda sofisticada","L","Verde","79.99","15"
"Calça Capri Jeans","Calça jeans capri","M","Azul","39.99","50"
"Tênis de Corrida","Tênis leve para corrida","42","Preto","99.99","35"
"Camisa Slim Fit","Camisa ajustada ao corpo","P","Branco","59.99","40"
"Jaqueta de Sarja","Jaqueta resistente de sarja","G","Verde","79.99","20"
"Camiseta Henley","Camiseta com botões no colarinho","M","Azul","24.99","60"
"Blusa de Linho","Blusa leve de linho","L","Bege","49.99","30"
"Calça Clochard","Calça de cintura alta com amarração","P","Preto","59.99","25"
"Saia Envelope","Saia ajustável com amarração","M","Rosa","34.99","45"
"Tênis Plataforma","Tênis com sola alta","40","Branco","79.99","20"
"Camisa Xadrez","Camisa casual xadrez","G","Vermelho","39.99","50"
"Blusa com Ombreira","Blusa estilosa com ombreiras","L","Preto","49.99","30"
"Calça Jogger","Calça esportiva com punhos elásticos","M","Cinza","39.99","60"
"Sandália Anabela","Sandália com salto anabela","38","Bege","59.99","35"
"Vestido de Malha","Vestido confortável de malha","P","Verde","49.99","20"
"Camiseta Longa","Camiseta de comprimento alongado","G","Azul","29.99","40"
"Blusa de Moletom","Blusa quente de moletom","L","Preto","39.99","50"
"Calça Cargo","Calça com vários bolsos","M","Verde","49.99","25"
"Tênis Casual","Tênis confortável para o dia a dia","41","Marrom","69.99","30"
"Camiseta Polo Estampada","Camiseta polo com estampa","P","Branco","34.99","60"
"Jaqueta Varsity","Jaqueta estilo universitário","G","Azul","89.99","20"
"Blusa com Gola Alta","Blusa elegante com gola alta","L","Preto","39.99","45"
"Calça Pantalona","Calça ampla e confortável","M","Roxo","49.99","30"
"Tênis de Skate","Tênis resistente para skate","40","Preto","69.99","35"
"Saia Lápis","Saia justa ao corpo","P","Preto","39.99","25"
"Camisa de Manga Curta","Camisa casual de manga curta","G","Branco","29.99","50"
"Blusa Peplum","Blusa com babado na cintura","M","Rosa","34.99","40"
"Calça Pantacourt","Calça curta e ampla","L","Azul","39.99","20"
"Sandália de Tiras","Sandália estilosa de tiras","39","Preto","49.99","30"
"Vestido Midi","Vestido de comprimento médio","G","Verde","59.99","20"
"Camiseta Regata","Camiseta sem mangas","P","Branco","19.99","70"
"Blusa com Renda","Blusa delicada com detalhes em renda","M","Preto","29.99","60"
"Calça de Cintura Alta","Calça estilosa de cintura alta","L","Bege","49.99","25"
"Tênis de Caminhada","Tênis leve para caminhadas","42","Cinza","59.99","30"
"Camiseta Básica","Camiseta simples e confortável","G","Azul","24.99","50"
"Blusa de Alça","Blusa leve com alças finas","P","Rosa","19.99","40"
"Calça Social","Calça formal para trabalho","M","Preto","69.99","35"
"Tênis de Corrida","Tênis leve e respirável","41","Azul","89.99","25"
"Vestido Tubinho","Vestido justo ao corpo","G","Vermelho","49.99","30"
"Camiseta Oversized","Camiseta larga e confortável","L","Branco","29.99","20"
"Blusa com Botões","Blusa com detalhes de botões","P","Preto","34.99","40"
"Calça Flare Jeans","Calça jeans de boca larga","M","Azul","59.99","50"
"Sandália Plataforma","Sandália com sola plataforma","38","Preto","69.99","25"
"Vestido Longo","Vestido elegante de festa","G","Roxo","89.99","15"
"Camiseta Estampada","Camiseta com estampa divertida","P","Branco","24.99","60"
"Blusa com Transparência","Blusa com detalhes transparentes","M","Preto","39.99","30"
"Calça Cropped","Calça curta e estilosa","L","Verde","49.99","20"
"Tênis Slip-On","Tênis sem cadarço confortável","40","Branco","59.99","50"
"Camiseta Henley","Camiseta casual com botões","P","Azul","24.99","45"
"Blusa de Tricô","Blusa quente de tricô","M","Bege","49.99","25"
"Calça de Linho","Calça leve e confortável","L","Branco","59.99","30"
"Tênis Infantil","Tênis colorido para crianças","33","Rosa","39.99","40"
"Saia Plissada","Saia elegante com pregas","P","Preto","29.99","60"
"Blusa de Frio","Blusa quente para inverno","M","Cinza","39.99","50"
"Calça de Moletom","Calça confortável para descanso","L","Preto","29.99","70"
"Tênis de Academia","Tênis para exercícios físicos","42","Azul","79.99","35"
"Camiseta Gráfica","Camiseta com estampa criativa","G","Branco","24.99","20"
"Blusa de Veludo","Blusa macia e elegante","P","Vermelho","49.99","30"
"Calça Skinny Jeans","Calça jeans justa","M","Azul","39.99","25"
"Tênis Casual","Tênis estiloso para o dia a dia","41","Preto","69.99","50"
"Vestido de Festa","Vestido elegante para eventos","G","Rosa","79.99","20"
"Camiseta Polo","Camiseta polo de algodão","L","Branco","34.99","60"
"Blusa com Estampa","Blusa com estampa moderna","P","Azul","29.99","45"
"Calça Capri","Calça curta e estilosa","M","Preto","39.99","30"
"Sandália Rasteira","Sandália baixa e confortável","39","Bege","49.99","20"
"Vestido Longo","Vestido de verão","G","Verde","69.99","25"
"Camiseta Básica","Camiseta simples e versátil","P","Preto","19.99","70"
"Blusa com Gola Alta","Blusa estilosa com gola alta","M","Branco","34.99","60"
"Calça de Sarja","Calça resistente e confortável","L","Bege","49.99","40"
"Tênis de Corrida","Tênis leve para corrida","41","Preto","79.99","35"
"Camiseta Longline","Camiseta alongada estilosa","G","Azul","29.99","30"
"Blusa de Manga Longa","Blusa quente de manga longa","P","Preto","24.99","50"
"Calça Jogger","Calça esportiva com punhos","M","Cinza","39.99","25"
"Tênis de Skate","Tênis durável para skate","42","Azul","69.99","40"
"Saia Lápis","Saia justa ao corpo","L","Preto","39.99","20"
"Blusa Peplum","Blusa com babado na cintura","M","Rosa","34.99","60"
"Calça Pantacourt","Calça curta e ampla","P","Azul","49.99","50"
"Sandália Anabela","Sandália com salto anabela","38","Bege","59.99","35"
"Vestido Midi","Vestido de comprimento médio","L","Verde","69.99","20"
"Camiseta Regata","Camiseta sem mangas","M","Preto","19.99","40"
"Blusa com Renda","Blusa delicada com detalhes em renda","G","Branco","34.99","30"
"Calça de Cintura Alta","Calça estilosa de cintura alta","P","Preto","49.99","25"
"Tênis de Caminhada","Tênis leve para caminhadas","42","Cinza","59.99","30"
"Camiseta Básica","Camiseta simples e confortável","M","Azul","24.99","50"
